1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;5915000;Hamm;vers.;254;162;92;0;0;0;10;4;6;10;4;6;15;9;6;15;8;7;193;129;64;21;12;9;214;141;73
------;Straftaten insgesamt;5915000;Hamm;insg.;2,910;1,668;1,242;31;13;18;218;115;103;249;128;121;212;105;107;192;108;84;2,090;1,233;857;167;94;73;2,257;1,327;930
------;Straftaten insgesamt;3241001;Hannover;voll.;11,289;6,974;4,315;111;62;49;486;276;210;597;338;259;766;420;346;840;483;357;8,532;5,408;3,124;554;325;229;9,086;5,733;3,353
------;Straftaten insgesamt;3241001;Hannover;vers.;781;534;247;9;5;4;24;14;10;33;19;14;54;29;25;59;36;23;577;412;165;58;38;20;635;450;185
------;Straftaten insgesamt;3241001;Hannover;insg.;12,070;7,508;4,562;120;67;53;510;290;220;630;357;273;820;449;371;899;519;380;9,109;5,820;3,289;612;363;249;9,721;6,183;3,538
------;Straftaten insgesamt;8221000;Heidelberg;voll.;1,946;1,268;678;16;10;6;82;52;30;98;62;36;121;65;56;185;127;58;1,413;945;468;129;69;60;1,542;1,014;528
------;Straftaten insgesamt;8221000;Heidelberg;vers.;108;72;36;0;0;0;2;1;1;2;1;1;2;1;1;10;6;4;88;60;28;6;4;2;94;64;30
------;Straftaten insgesamt;8221000;Heidelberg;insg.;2,054;1,340;714;16;10;6;84;53;31;100;63;37;123;66;57;195;133;62;1,501;1,005;496;135;73;62;1,636;1,078;558
------;Straftaten insgesamt;8121000;Heilbronn;voll.;1,472;839;633;7;5;2;79;38;41;86;43;43;92;50;42;109;54;55;1,114;651;463;71;41;30;1,185;692;493
------;Straftaten insgesamt;8121000;Heilbronn;vers.;87;54;33;3;1;2;3;3;0;6;4;2;2;1;1;3;2;1;67;39;28;9;8;1;76;47;29
